"date","rate"
1999-01-01,3.213
1999-01-04,3.209
1999-01-05,3.187
1999-01-06,3.176
1999-01-07,3.158
1999-01-08,3.139
1999-01-11,3.126
1999-01-12,3.122
1999-01-13,3.107
1999-01-14,3.083
1999-01-15,3.044
1999-01-18,3.021
1999-01-19,2.984
1999-01-20,2.985
1999-01-21,2.99
1999-01-22,2.99
1999-01-25,2.981
1999-01-26,2.984
1999-01-27,2.986
1999-01-28,2.981
1999-01-29,2.981
1999-02-01,2.998
1999-02-02,3.004
1999-02-03,3.012
1999-02-04,3.02
1999-02-05,3.026
1999-02-08,3.036
1999-02-09,3.041
1999-02-10,3.039
1999-02-11,3.041
1999-02-12,3.039
1999-02-15,3.041
1999-02-16,3.038
1999-02-17,3.034
1999-02-18,3.031
1999-02-19,3.03
1999-02-22,3.025
1999-02-23,3.023
1999-02-24,3.023
1999-02-25,3.036
1999-02-26,3.071
1999-03-01,3.079
1999-03-02,3.148
1999-03-03,3.146
1999-03-04,3.151
1999-03-05,3.13
1999-03-08,3.097
1999-03-09,3.084
1999-03-10,3.078
1999-03-11,3.072
1999-03-12,3.029
1999-03-15,3.026
1999-03-16,3.027
1999-03-17,3.027
1999-03-18,3.019
1999-03-19,3.012
1999-03-22,3.009
1999-03-23,3.011
1999-03-24,3.01
1999-03-25,2.992
1999-03-26,2.985
1999-03-29,2.985
1999-03-30,2.978
1999-03-31,2.967
1999-04-01,2.939
1999-04-02,2.932
1999-04-05,2.93
1999-04-06,2.907
1999-04-07,2.903
1999-04-08,2.899
1999-04-09,2.719
1999-04-12,2.715
1999-04-13,2.713
1999-04-14,2.709
1999-04-15,2.707
1999-04-16,2.71
1999-04-19,2.707
1999-04-20,2.7
1999-04-21,2.692
1999-04-22,2.685
1999-04-23,2.683
1999-04-26,2.681
1999-04-27,2.677
1999-04-28,2.678
1999-04-29,2.678
1999-04-30,2.676
1999-05-03,2.68
1999-05-04,2.68
1999-05-05,2.684
1999-05-06,2.683
1999-05-07,2.691
1999-05-10,2.691
1999-05-11,2.688
1999-05-12,2.686
1999-05-13,2.68
1999-05-14,2.668
1999-05-17,2.678
1999-05-18,2.677
1999-05-19,2.688
1999-05-20,2.688
1999-05-21,2.686
1999-05-24,2.682
1999-05-25,2.679
1999-05-26,2.678
1999-05-27,2.678
1999-05-28,2.685
1999-05-31,2.687
1999-06-01,2.735
1999-06-02,2.812
1999-06-03,2.784
1999-06-04,2.795
1999-06-07,2.805
1999-06-08,2.784
1999-06-09,2.781
1999-06-10,2.794
1999-06-11,2.831
1999-06-14,2.836
1999-06-15,2.838
1999-06-16,2.838
1999-06-17,2.834
1999-06-18,2.819
1999-06-21,2.817
1999-06-22,2.842
1999-06-23,2.856
1999-06-24,2.878
1999-06-25,2.928
1999-06-28,2.928
1999-06-29,2.927
1999-06-30,2.936
1999-07-01,2.91
1999-07-02,2.956
1999-07-05,2.956
1999-07-06,2.971
1999-07-07,2.976
1999-07-08,2.983
1999-07-09,2.991
1999-07-12,2.997
1999-07-13,2.994
1999-07-14,2.977
1999-07-15,2.964
1999-07-16,3.069
1999-07-19,3.091
1999-07-20,3.094
1999-07-21,3.075
1999-07-22,3.05
1999-07-23,3.09
1999-07-26,3.094
1999-07-27,3.093
1999-07-28,3.095
1999-07-29,3.104
1999-07-30,3.13
1999-08-02,3.188
1999-08-03,3.233
1999-08-04,3.225
1999-08-05,3.229
1999-08-06,3.238
1999-08-09,3.301
1999-08-10,3.314
1999-08-11,3.294
1999-08-12,3.277
1999-08-13,3.28
1999-08-16,3.27
1999-08-17,3.268
1999-08-18,3.205
1999-08-19,3.198
1999-08-20,3.189
1999-08-23,3.18
1999-08-24,3.186
1999-08-25,3.188
1999-08-26,3.186
1999-08-27,3.235
1999-08-30,3.255
1999-08-31,3.281
1999-09-01,3.284
1999-09-02,3.288
1999-09-03,3.288
1999-09-06,3.242
1999-09-07,3.247
1999-09-08,3.278
1999-09-09,3.291
1999-09-10,3.308
1999-09-13,3.314
1999-09-14,3.321
1999-09-15,3.327
1999-09-16,3.32
